song,artist,genre,mood,language
Ocean Eyes,Billie Eilish,Indie Pop,Love,English
Happier than Ever,Billie Eilish,Indie Pop,Angry,English
you should see me in a crown,Billie Eilish,Pop,Halloween,English
"Lovely","Billie Eilish, Khalid",Pop,Sad,English
Fallen Leaves,Billy Talent,Punk Rock,Sad,English
We Didn't Start the Fire,Billy Joel,Rock,Energetic,English
Piano Man,Billy Joel,Rock,Nostalgic,English
Vienna,Billy Joel,Rock,Chill,English
New York State of Mind,Billy Joel,Rock,Nostalgic,English
Do You Hear What I Hear,Bing Crosby,Christmas,Christmas,English
God Rest Ye Merry Gentlemen,Bing Crosby,Christmas,Christmas,English
Skinny Love,Birdy,Indie Folk,White Girl Music,English
War Pigs,Black Sabbath,Heavy Metal,Angry,English
The Tide is High,Blondie,New Wave,Happy,English
Don't Fear the Reaper,Blue Oyster Cult,Rock,Halloween,English
Bezos,Bo Burnham,Comedy,Happy,English
Sexting,Bo Burnham,Comedy,Happy,English
Look Who's Inside Again,Bo Burnham,Comedy,Chill,English
30,Bo Burnham,Comedy,Chill,English
All Eyes on Me,Bo Burnham,Comedy,Sad,English
Goodbye,Bo Burnham,Comedy,Sad,English
Content,Bo Burnham,Comedy,Chill,English
Comedy,Bo Burnham,Comedy,Chill,English
How the World Works,Bo Burnham,Comedy,Happy,English
Possible Ending Song,Bo Burnham,Comedy,Chill,English
Welcome to the Internet,Bo Burnham,Comedy,Angry,English
Prngles Can,Bo Burnham,Comedy,Happy,English
Duvet,BoA,Anime,Chill,English
Jingle Bell Rock,Bobby Helms,Christmas,Christmas,English
Uninstall,Bokurano,Anime,Sad,Japanese
Rasputin,Boney M,Disco,Happy,English
Electric Love,Borns,Indie Pop,Love,English
Space Oddity,David Bowie,Rock,Chill,English
Rockin' Around the Christmas Tree,Brenda Lee,Christmas,Christmas,English
Can You Feel My Heart,Bring Me the Horizon,Metalcore,Angry,English
Toxic,Britney Spears,Pop,Energetic,English
Santa Claus is Coming to Town,Bruce Springsteen,Christmas,Christmas,English
Places We Won't Walk,Bruno Major,Indie,Sad,English
Dance in the Muror,Bruno Mars,Funk Pop,Energetic,English
