song,artist,genre,mood,language
Into the Unknown,Over the Garden Wall,Indie Folk,Halloween,English
I Write Sins not Tragedies,Panic! At the Disco,Pop Rock,Energetic,English
i'm Not Angry Anymore,Paramore,Alternative Rock,Sad,English
Still into You,Paramore,Pop Rock,Love,English
Please Say Something Even Though It Is a Lie,Park Bo Ram,K-Pop,Sad,Korean
Villains Aren't Born,Peggy,,,
Think of Me,Phantom of the Opera,Musical Theatre,Love,English
Angel of Music,Phantom of the Opera,Musical Theatre,Halloween,English
Phantom of the Opera,Phantom of the Opera,Musical Theatre,Halloween,English
Music of the Night,Phantom of the Opera,Musical Theatre,Halloween,English
Prima Donna,Phantom of the Opera,Musical Theatre,Energetic,English
All I Ask of You,Phantom of the Opera,Musical Theatre,Love,English
Masquerade,Phantom of the Opera,Musical Theatre,Energetic,English
Wishing You Were Somehow Here Again,Phantom of the Opera,Musical Theatre,Sad,English
The Point of No Return,Phantom of the Opera,Musical Theatre,Love,English
Happy,Pharrell Williams,Pop,Happy,English
STFU,Pink Guy,Comedy,Angry,English
Sex,Pink Guy,Comedy,Happy,English
Help,Pink Guy,Comedy,Sad,English
Hey There Delilah,Plain White T's,Acoustic,White Girl Music,English
Moonlight Serenade,Platina Jazz,Jazz,Chill,Japanese
Colors of the Wind,Pocahontas,Disney,Chill,English
Lowlife,Poppy,Pop,Halloween,English
Feel it Still,Portugal The Man,Indie Rock,Energetic,English
Sunflower,Post Malone,Hip-Hop,Love,English
Deliver Us,Prince of Egypt,Musical,Energetic,English
All I Ever Wanted,Prince of Egypt,Musical,Chill,English
Through Heaven's Eyes,Prince of Egypt,Musical,Gospel,English
Playing with the Big Boys,Prince of Egypt,Musical,Halloween,English
The Plagues,Prince of Egypt,Musical,Halloween,English
VWhen You Believe,Prince of Egypt,Musical,Gospel,English
Down in New Orleans,Princess and the Frog,Disney,Happy,English
Friends on the Other Side,Princess and the Frog,Disney,Halloween,English
Almost There,Princess and the Frog,Disney,Happy,English
Bohemian Rhapsody,Queen,Rock,Energetic,English
Somebody to Love,Queen,Rock,Sad,English
Killer Queen,Queen,Rock,Happy,English
Love of my Life,Queen,Rock Ballad,Love,English
Don't Stop Me Now,Queen,Rock,Energetic,English
Under Pressure,Queen,Rock,Energetic,English
We are the Champions,Queen,Rock,Energetic,English
We Will Rock You,Queen,Rock,Energetic,English
Flos,R Sound Design,Vocaloid,Energetic,Japanese
Make Them Hear You,Ragtime,Musical,Energetic,English
Life is a Highway,Rascal Flatts,Country Rock,Energetic,English
La Festin,Ratatouille,Soundtrack,Happy,French
Californication,Red Hot Chili Peppers,Alternative Rock,Chill,English
Samson,Regina Spektor,Indie,White Girl Music,English
Loving is Easy,Rex Orange County,Indie Pop,Love,English
Never Gonna Give You Up,Rick Astley,Pop,Happy,English
Disturbia,Rihanna,Pop,Halloween,English
Love on the Brain,Rihanna,R&B,Love,English
Shia LaBeouf,Rob Cantor,Comedy,Halloween,English
Somebody's Watching Me,Rockwell,Pop,Halloween,English
Paint it Black,Rolling Stones,Rock,Halloween,English
Car Wash,Rose Royce,Disco,Happy,English
APT,"Rose, Bruno Mars",K-Pop,Energetic,English
War of Hearts,Ruelle,Indie,White Girl Music,English
White Girls Fuck Dogs,Rusty Cage,Folk,Halloween,English
Everyone Don't I Like is Literally Hitler,Rusty Cage,Folk,Angry,English
Dandelions,Ruth B,Indie Pop,Love,English
I'm Just Ken,Ryan Gosling,Soundtrack,Happy,English
Manchild,Sabrina Carpenter,Pop,Happy,English
Feather,Sabrina Carpenter,Pop,Energetic,English
A Nonsense Christmas,Sabrina Carpenter,Christmas,Christmas,English
Destroyer,Saint Motel,Indie Pop,Energetic,English
Mario Kart Love Song,Sam Hart,Indie,Love,English
Mad at Disney,Salem Ilese,Pop,Sad,English
Stay With Me,Sam Smith,Pop,Sad,English
When He Sees Me,Sara Bareilles,Musical,Sad,English
When She Loved Me,Sarah McLachlan,Soundtrack,White Girl Music,English
The Moon Song,Scarlett Johansson,Indie Folk,White Girl Music,English
I Am Gonna Claw (Out Your Eyes then Drown You to Death),Scylla & The Sirens,Hard Rock,Angry,English
Coral Crown,Scylla & The Sirens,Hard Rock,Angry,English
Fall for You,Secondhand Serenade,Pop Rock,Love,English
Man! I Feel Like a Woman,Shania Twain,Country Pop,Energetic,English
That Don't Impress Me Much,Shania Twain,Country Pop,Happy,English
Unforgettable,Sia,Pop,Energetic,English
Snowman,Sia,Pop,Christmas,English
Sign,FLOW,Anime,Energetic,Japanese
Full Moon Tonight,Silvastone,,,
Sound of Silence,Simon & Garfunkel,Folk,Sad,English
Witchcraft,Frank Sinatra,Jazz,Love,English
Kiss Me,Sixpence None the Richer,Pop Rock,Love,English
All Star,Smash Mouth,Pop Rock,Happy,English
I'm a Believer,Smash Mouth,Pop Rock,Happy,English
1979,Smashing Pumpkins,Alternative Rock,Nostalgic,English
Gotta Go Fast,SonicX,Anime,Energetic,English
Black Hole Sun,Soundgarden,Grunge,Halloween,English
Honeybee,Steam Powered Giraffe,Steampunk,Love,English
Villain,Stella Jang,K-Pop,Happy,Korean
Until Found You,Stephen Sanchez,Indie,Love,English
Hitohira no Hanabira,Stereopony,Anime,Happy,Japanese
Bad Habit,Steve Lacy,R&B,Chill,English
"It's Over, Isn't it",Steven Universe,Animation,Sad,English
Isn't She Lovely,Stevie Wonder,Soul,Happy,English
Inferno,"Sub Urban, Bella Poarch",Pop,Halloween,English
Eye of the Tiger,Survivor,Rock,Energetic,English
Kill Bill,SZA,R&B,Love,English
Psycho Killer,Talking Heads,New Wave,Halloween,English
When Will My Life Begin,Tangled,Disney,Happy,English
Mother Knows Best,Tangled,Disney,Halloween,English
I See the Light,Tangled,Disney,Love,English
Our Song,Taylor Swift,Country Pop,White Girl Music,English
Teardrops on My Guitar,Taylor Swift,Country Pop,White Girl Music,English
Lose Control,Teddy Swims,Soul,Sad,English
Love Poton Number Nine,The Searchers,Rock and Roll,Happy,English
The Addams Family,The Addams Family,Soundtrack,Halloween,English
House of the Rising Sun,The Animals,Rock,Sad,English
Lovefool,"The Cardigans, Post Modern Jukebox",Pop,White Girl Music,English
Tequilla,The Champs,Rock and Roll,Energetic,English
Mr. Sandman,The Chordettes,Doo-Wop,Love,English
Ben Frankin's Song,The Decemberists,Folk Rock,Happy,English
People are Strange,The Doors,Rock,Halloween,English
A Million Dreams,The Greatest Showman,Musical,Happy,English
The Greatest Showman,The Greatest Showman,Musical,Energetic,English
Come Alive,The Greatest Showman,Musical,Energetic,English
The Other Side,The Greatest Showman,Musical,Energetic,English
Never Enough,The Greatest Showman,Musical,Energetic,English
This is Me,The Greatest Showman,Musical,Energetic,English
Rewrite the Stars,The Greatest Showman,Musical,Love,English
Tightrope,The Greatest Showman,Musical,Chill,English
Where Are You Christmas,The Grinch,Christmas,Christmas,English
You're a Mean One Mr Grinch,The Grinch,Christmas,Christmas,English
Blame in on the Boogie,Jackson 5,Disco,Happy,English
Part of Your World,The Little Mermaid,Disney,Happy,English
Under the Sea,The Little Mermaid,Disney,Happy,English
Sweater Weather,The Neighborhood,Indie Rock,White Girl Music,English
This is Halloween,The Nightmare Before Christmas,Soundtrack,Halloween,English
Kyouran Hey Kids,THE ORAL CIGARETTES,J-Rock,Energetic,Japanese
Run Run Rudolf,The Seatbelts,Christmas,Christmas,English
Tomorrow Will be Kinder,The Secret Sisters,Folk,Happy,English
To All the Girls who Cry,The Secret Sisters,Folk,Sad,English
She is My Dream,The Tads,Soul,,
Across the Sea,The Wailin' Jennys,Folk,Chill,English
Istanbul (Not Constantinople),They Might Be Giants,Alternative Rock,Happy,English
Sweet Transvestite,Tim Curry,Musical,Energetic,English
Red Flags,Tom Cardy,Comedy,Happy,English
Unravel,Toru Kitajima,Anime,Halloween,Japanese
Africa,Toto,Pop Rock,Nostalgic,English
Bad Aople,Touhou,Anime,Energetic,Japanese
Stay High,Tove Lo,Pop,Sad,English
Habits,"Tove Lo, Post Modern Jukebox",Pop,Sad,English
You've Got a Fnend in Me,Toy Story,Disney,Happy,English
Drops of Jupiter,Train,Pop Rock,Love,English
Hey Soul Sister,Train,Pop Rock,Happy,English
A Little Wicked,Valerie Broussard,Indie,Halloween,English
Brown Eyed Girl,Van Morrison,Rock,Love,English
A Thousand Miles,Vanessa Carlton,Pop,White Girl Music,English
Veggietales Theme Song,Veggietales,Children's,Happy,English
Boom Boom Boom Boom,Vengaboys,Eurodance,Energetic,English
Check Yes Juliet,We the Kings,Pop Punk,Love,English
Ocean Man,Ween,Alternative,Happy,English
Last Christmas,Wham!,Christmas,Christmas,English
Seven Nation Army,White Stripes,Garage Rock,Energetic,English
I Will Always Love You,Whitney Houston,Pop Ballad,Love,English
No One Mourns the Wicked,Wicked,Musical Theatre,Energetic,English
Dear Old Shiz,Wicked,Musical Theatre,Happy,English
The Wizard and I,Wicked,Musical Theatre,Happy,English
What is this Feeling,Wicked,Musical Theatre,Happy,English
Something Bad,Wicked,Musical Theatre,Halloween,English
Dancing through Life,Wicked,Musical Theatre,Happy,English
Popular,Wicked,Musical Theatre,Happy,English
I'm Not That Girl,Wicked,Musical Theatre,Sad,English
One Short Day,Wicked,Musical Theatre,Happy,English
A Sentimental Man,Wicked,Musical Theatre,Love,English
Defying Gravity,Wicked,Musical Theatre,Energetic,English
Thank Goodness/I Couldn't Be Happier,Wicked,Musical Theatre,Sad,English
Wonderful,Wicked,Musical Theatre,Energetic,English
No Good Deed,Wicked,Musical Theatre,Angry,English
For Good,Wicked,Musical Theatre,Love,English
Meadows,Wild Child,Indie Folk,Chill,English
Cecily Smith,Will Connolly,Indie,Love,English
Jaja Ding Dong,Will Ferrell,Comedy,Happy,English
Marceline,WILLOW,Alternative,Sad,English
Baka Mita,Yakuza,Soundtrack,Sad,Japanese
One Year Six Months,Yellowcard,Pop Punk,Sad,English
Kaibutsu,Yoasobi,J-Pop,Energetic,Japanese
Yoru ni Kakeru,Yoasobi,J-Pop,Energetic,Japanese
Itte,Yorushika,J-Pop,Sad,Japanese
Rolling Star,YUI,Anime,Energetic,Japanese
Can't Tame Her,Zara Larsson,Pop,Energetic,English
Auld Lang Syne,,Folk,Nostalgic,English
Everybody's Circulation,,Anime,Energetic,Japanese
Pokemon,,Anime,Energetic,English
Ikenai Borderline,,Anime,Energetic,Japanese
Star Spangled Banner,,Patriotic,Energetic,English
O Come All Ye Faithful,,Christmas,Christmas,English
O Holy Night,,Christmas,Christmas,English
Christmas Time is Here,,Christmas,Christmas,English
Ave Maria,,Classical,Gospel,Latin
Let it Snow!,,Christmas,Christmas,English
Here Comes Santa Claus,,Christmas,Christmas,English
Rudolph the Red Nosed Reindeer,,Christmas,Christmas,English
Jingle Bells,,Christmas,Christmas,English
Silent Night,,Christmas,Christmas,English
Frosty the Snowman,,Christmas,Christmas,English
Little Drummer Boy,,Christmas,Christmas,English
This Christmas,,Christmas,Christmas,English
I'll Be Home for Christmas,,Christmas,Christmas,English
Jingle Bell Rock,,Christmas,Christmas,English
Island of Misfit Toys,,Christmas,Christmas,English
Silver Bells,,Christmas,Christmas,English
Joy to the World,,Christmas,Christmas,English
The First Noel,,Christmas,Christmas,English
Angels We Have Heard on High,,Christmas,Christmas,English
We Three Kings,,Christmas,Christmas,English
Away in a Manger,,Christmas,Christmas,English
Wellerman,,Sea Shanty,Energetic,English
Drunken Sailor,,Sea Shanty,Energetic,English
Northwest Passage,,Folk,Energetic,English
Leave Her Jonnny,,Sea Shanty,Sad,English
Battle Hymn of the Republic,,Hymn,Gospel,English
Down to the River to Pray,,Folk,Gospel,English
Mo Ghile Mear,,Celtic,Sad,Irish
Death of a Bachelor,Panic! At the Disco,Pop Rock,Love,English
The Ballad of Mona Lisa,Panic! At the Disco,Pop Rock,Energetic,English
Bye Bye Bye,NSYNC,Pop,Energetic,English
Sunroof,Nicky Youre,Pop,Happy,English
Mr. Brightside,The Killers,Indie Rock,Energetic,English
Somebody Told Me,The Killers,Indie Rock,Energetic,English
Gabriela,Katseye,K-Pop,Happy,English
Age of Aggression,Skyrim,Soundtrack,Energetic,English
Creep,Radio Head,Alternative Rock,Sad,English
Nandemonaiya,Radwimps,J-Rock,Nostalgic,Japanese
Make Them Hear You,Ragtime,Musical,Sad,English
Chug Jug,LeviathanJPTV,Comedy,Energetic,English
Someone You Loved,Lewis Capaldi,Pop Ballad,Sad,English
Shinzou wo Sasageyo,Linked Horizon,Anime,Energetic,Japanese
Guren no Yumiya,Linked Horizon,Anime,Energetic,Japanese
Circle of Life,Lion King,Disney,Energetic,English
I Just Can't Wait to be King,Lion King,Disney,Happy,English
Be Prepared,Lion King,Disney,Halloween,English
Hakuna Matata,Lion King,Disney,Happy,English
Can you Feel the Love Tonight,Lion King,Disney,Love,English
Funky Town,Lipps Inc,Disco,Happy,English
Crossing Field,LiSa,Anime,Energetic,Japanese
Gurenge,LiSa,Anime,Energetic,Japanese
Homura,LiSa,Anime,Sad,Japanese
On the Road Again,Lisa McHugh,Country,Happy,English
Poor Unfortunate Souls,Little Mermaid,Disney,Halloween,English
Ram Ranch,Grant MacDonald,Comedy,Energetic,English
Messy,Lola Young,Pop,Angry,English
How Bad Can I Be,Lorax,Musical,Energetic,English
Everybody Wants to Rule the World,Lorde,Indie Pop,Chill,English
